Publication Number,Title,Abstract,Claims
US9195837,Method and system for securely transmitting deterrent data,"A method for securely transmitting deterrent data includes generating a deterrent having a predesigned number and configuration of glyphs having deterrent data therein, and transmitting a portion of the deterrent data from a subset of the glyphs without transmitting deterrent data from a remainder of the glyphs. The glyphs form a predetermined structure with a single solution. The method further includes receiving the portion of the deterrent data, placing the portion of the deterrent data into the subset of the glyphs, and solving the predetermined structure with the single solution, thereby determining the remainder of the glyphs to be infilled in the predetermined structure with deterrent data gleaned from the solution.","1. A method for securely transmitting deterrent data, comprising: 
executing, on a first machine programmed to operate computer readable code, the steps of:  
generating, a deterrent having a predesigned number and configuration of glyphs having deterrent data therein, the glyphs forming a predetermined two-dimensional structure with a single solution selected from a specific number of solutions for the predetermined two-dimensional structure; 
generating a pattern to be used to determine the single solution, the pattern corresponding with the predetermined two-dimensional structure but having a subset of the glyphs having deterrent data therein and other glyphs not having deterrent data therein, wherein the deterrent data in the subset specifies the single solution; 
transmitting, via a secure connection, the pattern to a second machine; and 
transmitting the deterrent data from the subset of the glyphs of the pattern without transmitting deterrent data from a remainder of the glyphs in the deterrent, wherein the transmitted deterrent data is not indicative of a location of the deterrent data within the pattern; and 
executing, on the second machine programmed to operate computer readable code and privy to the pattern, the steps of:  
receiving the transmitted deterrent data; 
inputting the received deterrent data into the predetermined two-dimensional structure according to the pattern; and 
then solving the single solution of the predetermined two-dimensional structure via a completion algorithm, thereby determining the deterrent data of the remainder of the glyphs to be infilled in the predetermined two-dimensional structure with deterrent data gleaned from the single solution."
US9197075,Charging port based on power state signal,"A computing system including a port to provide power to a portable device. The power state of the computing system is determined and the type of charging port to provide can be based on the power state of the computing system.  

Un système informatique comprend un port d'alimentation pour un dispositif portable. L'état d'énergie du système informatique est déterminé et le type de port de charge à fournir peut être basé sur l'état d'énergie du système informatique.","1. A computing system comprising: 
a port to communicate data and to provide power to a portable device; 
a power source to provide a current to the portable device; 
a signal generator to provide a signal indicating a power state of the computing system; and 
a controller to receive the signal and determine a type of charging port for the portable device based on the signal indicating the power state of the computing system when the computing system is in a low power state."
US9197657,Internet protocol address distribution summary,Examples disclosed herein relate to an Internet Protocol address distribution summary. A processor may determine a statistical distribution between at least one portion of bits of Internet Protocol addresses accessing a website and determine a summary value representative of the degree of change within the statistical distribution. The processor may output the summary value.,"1. An apparatus, comprising: 
a processor; and 
a machine-readable non-transitory storage medium comprising instructions that, when executed by the processor, cause the processor to:  
detect whether a website is being subjected to a cyber attack without tracing any specific Internet Protocol address accessing the website, by:  
creating a statistical distribution indicating percentages of the same bit portions of Internet Protocol addresses accessing the website during a particular time period; 
determining an entropy level within the statistical distribution, the entropy level indicating an extent to which the percentages relatively vary within the statistical distribution; 
comparing the entropy level to stored information related to a past entropy level such that the statistical distribution itself is not directly compared to a past statistical distribution with which the past entropy level is associated; 
where the difference between the entropy level and the past entropy level is above a threshold, conclude that the website is being subjected to the cyber attack; and 
where the processor has concluded that the website is being subjected to the cyber attack, identify those of the specific Internet protocol addresses accessing the website that are participating in the cyber attack and perform a mitigation action to reduce susceptibility of the website to the cyber attack, the mitigation action related to how the website is operated and is in addition to any warning that the cyber attack is occurring."
US9201854,"Methods and systems for creating, interacting with, and utilizing a superactive document","Systems and methods are provided for creating, providing mechanisms for user interaction with, and utilizing a superactive document, including the providing of print and electronic versions of such superactive documents, and providing for processing of such superactive documents by computer-implemented processes of an enterprise. A container encapsulates operative components in a predetermined electronic file format. The container includes a compressed portion for storing predetermined portions of selected operative components. A content component represents document contents including text, graphics, controls, and sound. An interaction orchestration component displays a user document interaction interface when the document is processed by a compatible computer program. A control component controls user access to predetermined content components and utilization of predetermined interaction orchestration components. Instance data comprising predetermined information is obtained from interaction between a user and operations of an interaction orchestration component, an enterprise database, external databases, and asynchronous information sources.","1. A method for processing an interactive document, the method comprising: 
providing an interactive document via encapsulating operative components in a predetermined electronic file format, the format including a compressed portion for storing predetermined portions of selected operative components; 
deploying the operative components via:  
representing document contents of the interactive document in one or more content components comprising information selected from at least one of text, graphics, controls, or sounds, 
orchestrating, from among an array of orchestration components, display of at least some of the orchestration components as a user document interaction interface within the interactive document, including arranging each orchestration component to provide variability in a type, a quantity, and a source of the content components controlling, as a function of user characteristics including at least one of an identity, a title, or a role, user access to predetermined content of the interactive document and user access regarding which, if any, of the respective displayable orchestration components within the interactive document are accessible by a user; and 
providing instance data within the interactive document, the instance data comprising predetermined information obtained during one or more of the following:  
interaction between a user and operations of the orchestrated display; 
data retrieval from an enterprise database controlled by the orchestrated display of the user document interaction interface; 
data retrieved from an external database as a function of predetermined data retrieval; and 
data retrieved from an asynchronous information source."
US9207871,Internal notebook microSD reader with read-only switch,"A computing device can include a connector to connect with a removable storage device. A switch can control the connector to prevent in a first state and allow in a second state at least one of the writing and erasing of a removable storage device connected to the connector. The switch can be prevented from changing states when a component is in a first configuration. The state of the switch can be changeable when the component is in a second configuration. The component is operationally connected to the computing device in the first configuration, and the component is operationally disconnected from the computing device in the second configuration.","1. A computing device comprising: 
a removable storage device; 
a removable battery; 
a connector to connect with the removable storage device; 
a switch having a first state and a second state, the switch to prevent at least one of writing to or erasing of information stored on the removable storage device in the first state, and permit the at least one of writing to or erasing of the information stored on the removable storage device in the second state; and 
a retaining element to mechanically retain the removable battery to the computing device and cause the switch to remain in the first state; 
wherein the retaining element is to automatically change the switch from the second state to the first state upon connection of the battery to the computing device."
US9210324,Image processing,"A method of processing image data representing a captured image, the data generated using an image capture element of an image capture device, the method comprising generating state data representing at least one characteristic of motion of the image capture device and a status of at least one setting of the device during a predetermined time period, and processing the image data on the basis of the state data in order to provide a measure of the accuracy of framing of the captured image within a field of view of the device, and corresponding apparatus.","1. A method of processing image data representing a captured image, the data generated using an image capture element of an image capture device, the method comprising: 
generating state data representing at least one characteristic of motion of the image capture device and a status of at least one setting of the device during a predetermined time period, wherein the predetermined time period is a time period before the image is captured; and 
processing the image data on the basis of the state data in order to provide a measure of the accuracy of framing of the captured image within a field of view of the device."
US9210799,Apparatus and method for reproducing an audio signal,"There is provided an electronic device having an audio system for reproducing audio signals. An exemplary electronic device has an analog region and a separate and non-overlapping digital region. The electronic device comprises an analog ground plane disposed within the analog region and a digital ground plane disposed within the digital region. Digital circuitry is disposed opposite the digital ground plane, wherein digital signals are routed on or over the digital ground plane. Analog circuitry is disposed opposite the analog ground plane, wherein analog signals are routed on or over the analog ground plane. At least one audio output channel disposed opposite the analog ground plane.  

La présente invention concerne un dispositif électronique comportant un système audio servant à reproduire des signaux audio. Un dispositif électronique donné à titre d'exemple a une partie analogique et une partie numérique distinctes et ne se recoupant pas. Le dispositif électronique comprend un plan de masse analogique disposé dans la partie analogique et un plan de masse numérique disposé dans la partie numérique. Les circuits numériques sont disposés en face du plan de masse numérique, les signaux numériques étant acheminés dans le plan de masse numérique ou au-dessus de celui-ci. Les circuits analogiques sont disposés en face du plan de masse analogique, les signaux analogiques étant acheminés dans le plan de masse analogique ou au-dessus de celui. Au moins un canal de sortie audio est disposé en face du plan de masse analogique.","1. An electronic device having an audio system for reproducing audio signals, the electronic device comprising: 
an analog region; 
a digital region that is separate and non-overlapping with respect to the analog region; 
an analog ground plane disposed within the analog region; 
a digital ground plane disposed within the digital region, wherein the digital ground plane and the analog ground plane are electrically connected by a single-point contact, the single point contract comprising a connecting member that connects the digital ground plane to the analog ground plane; 
digital circuitry associated with the digital ground plane, wherein digital signals are routed on or over the digital ground plane; 
analog circuitry associated with the analog ground plane, wherein analog signals are routed on or over the analog ground plane; and 
an audio output channel associated with and shielded by the analog ground plane, wherein the audio output channel comprises elongate members comprising a left channel, a right channel, and a ground return channel, the ground return channel disposed between the left channel and the right channel, and wherein the ground return channel is disposed along and opposite the analog ground plane and electrically connected to the analog ground plane."
US9213398,Point of sale terminals,A keypad circuit provides a signal corresponding to an actuation of a button. A query is presented to confirm intent to place an apparatus in a low-power state in response to the signal. The apparatus assumes a low-power state in response to a confirmation. The apparatus is also configured to assume an active state from a low-power state in response to the signal. Point-of-sale terminals and other apparatus can be controlled and operated accordingly.,"1. An apparatus, comprising: 
a chipset to perform respective operations associated with a processor; 
a user-operable button; 
a keypad circuit to provide a button signal in response to an actuation of the user-operable button; 
a super input/output (SIO) to signal the chipset to assume an active state in response to the button signal when the apparatus is in a low-power state; 
a microcontroller to pass the button signal to the SIO in accordance with a user query when the apparatus is in an active state, the SIO to signal the chipset to assume a low-power state in response to the button signal when the apparatus is in an active state; 
a housing; and 
a card swipe reader supported by the housing, the card swipe reader to provide data signaling to the chipset corresponding to a point-of-sale transaction."
US9213655,Computing device to connect to a portable device,"A computing device receives, from a portable device, an application that is executable on the portable device. The computing device determines whether the received application is a static application or an interpreted application. In response to determining that the received application is a static application, the computing device executes the received application using a hardware virtualizer. In response to determining that the received application is an interpreted application, the computing device executes the received application using a dynamic translator.","1. A method comprising: 
receiving, by a computing device from a portable device comprising a processor and a display, an application that is executable on the portable device; 
determining, by the computing device, whether the received application is a static application or an interpreted application; 
in response to determining that the received application is a static application, executing, by the computing device, the received application using a hardware virtualizer; and 
in response to determining that the received application is an interpreted application, executing, by the computing device, the received application using a dynamic translator."
US9213829,Computing device including a port and a guest domain,"A first guest domain and an isolated peripheral related task. A peripheral related task to communicate with the peripheral and prevent the first guest domain from communicating with the peripheral.  

La présente invention met en oeuvre un premier domaine d'invité et une tâche se rapportant à un périphérique isolé. Selon l'invention, ladite tâche, qui se rapporte à un périphérique, et qui est amenée à communiquer avec le périphérique, empêche le premier domaine d'invité de communiquer avec le périphérique.  

La présente invention met en œuvre un premier domaine d'invité et une tâche se rapportant à un périphérique isolé. Selon l'invention, ladite tâche, qui se rapporte à un périphérique, et qui est amenée à communiquer avec le périphérique, empêche le premier domaine d'invité de communiquer avec le périphérique.","1. A computing device comprising: 
a virtual machine monitor (VMM); 
a plurality of virtual domains isolated from one another by the VMM, the plurality of virtual domains comprising a first guest domain and a privileged domain; 
peripheral related instructions isolated from the first guest domain; and 
a port to connect a peripheral device, 
the privileged domain to cause the peripheral related instructions to be executed to identify the peripheral device, wherein the peripheral related instructions upon execution prevent the first guest domain from communicating with the peripheral device in response to determining that the peripheral device is malicious."
US9218145,Print job management,"A system for managing a print job is disclosed. Print job data is intercepted prior to being printed by a printer and a print job package is generated including the print job data as intercepted and metadata on the print job data, the print job data as intercepted being extractable from the print job package.","1. A print job management system comprising: 
at least one processor; and 
one or more memory resources storing instructions that, when executed by the at least one processor, cause the print job management system to:  
monitor a printer port for print jobs processed by printer drivers of client devices, the print jobs being submitted from the printer drivers to the printer port over a communications network for printing; 
intercept, from the printer port, a print job submitted over the communications network by a user of a client device; 
in response to intercepting the print job, prompt the user of the client device to select one of a plurality of security classifications to be associated with the print job; 
generate metadata for the print job, the metadata comprising a security label and a digital signature based on the selected security classification, the digital signature to enable printing of the print job by a specified printer; and 
generate a print job package including the print job and the metadata of the print job, the print job being extractable, as intercepted, from the print job package."
US9218253,Embedded restoration memory,"Example embodiments relate to embedded restoration memory. In one example implementation according to aspects of the present disclosure, a computing device may include a processor for executing instructions, a memory for storing instructions, a storage device having a user operating system, and a restoration memory embedded in the computing device and having a restoration module and a restoration image. The restoration operating system may exist independently of the user operating system and may be inaccessible to the user operating system. Additionally, the restoration module may cause the computing device to install the restoration image from the restoration memory onto the storage device upon the occurrence of a trigger event.","1. A system comprising: 
a processor to execute instructions; 
a memory to store instructions; 
a storage device having a user operating system; and 
a restoration memory that is device-agnostic, is for embedding in a computing device, is separate from the storage device, and includes a restoration module and a restoration image, 
wherein the restoration image exists independently of the user operating system and is inaccessible to the user operating system and wherein the restoration module causes the computing device to install the restoration imagine from the restoration memory onto the storage device upon an occurrence of a trigger event by inactivating the user operating system without deleting the user operating system."
US9218491,Systems and methods for providing security in an electronic device,"Security methods are provided. The method can include comparing a first device identifier (125) disposed within a component (120) with a second device identifier (135) disposed within an immutable memory (130). The component and the immutable memory can be disposed at least partially within an electronic device (110). The method can include starting the electronic device normally if the first device identifier corresponds to the second device identifier. The method can further include providing at least one indicator (150) if the first device identifier fails to correspond to the second device identifier. Security systems are also provided.  

L'invention concerne des procédés de sécurisation. Le procédé peut comprendre une comparaison entre un premier identifiant de dispositif (125) contenu dans un composant (120) et un second identifiant de dispositif (135) contenu dans une mémoire non réinscriptible (130). Le composant et la mémoire non réinscriptible peuvent être disposés au moins partiellement dans un dispositif électronique (110). Le procédé peut comprendre un démarrage normal du dispositif électronique si l'identifiant de dispositif correspond au second identifiant de dispositif. Le procédé peut en outre comprendre la fourniture d'au moins un indicateur (150) si le premier identifiant de dispositif ne correspond pas au second identifiant de dispositif. L'invention concerne également des systèmes de sécurisation.","1. A security method, comprising: 
comparing a first device identifier disposed within a component with a second device identifier disposed within an immutable memory;  
wherein the component and the immutable memory are disposed at least partially within an electronic device, and at least a portion of the first device identifier is immutably disposed within the component; 
wherein each of the first device identifier and the second device identifier identify a hardware, software, and firmware configuration of the electronic device, and the comparing determines whether any of the hardware, software, and firmware of the electronic device has been compromised; 
starting the electronic device normally if the first device identifier corresponds to the second device identifier; and 
providing at least one indicator if the first device identifier fails to correspond to the second device identifier; and 
inhibiting a speed of the electronic device in response to the first device identifier failing to correspond to the second device identifier."
US9218539,Upload an image to a website server using a pointing device,"Uploading an image to a website server receives position data defining an image area on a display screen of an image to be uploaded. An image file is created of the image area and uploads the image to the website server. In some examples, the position data are provided by a pointing device with an image upload button.","1. A method for uploading an image to a website server over a network, comprising: 
detecting a selection of an image upload button from a pointing device to upload the image to the website server; 
in response to detecting the selection of the image upload button, receiving a first position data indicative of a first corner of an image area; 
detecting a release of the image upload button from the pointing device; 
in response to detecting the release of the image upload button, receiving a second position data indicative of a second corner of the image area, the second corner being opposite and diagonal to the first corner; 
generating an image file indicative of an image in the image area; and 
uploading, over the network, the image file to the website server."
US9218837,Control of storage device,"Sensor data and audio data are received by a controller. The controller determines if the audio data is above a threshold level. The controller also determines if the sensor data is above a threshold level. The controller can suspend operation of a hard drive based on the data being above or below the threshold level.  

Un dispositif de commande reçoit des données audio et des données de capteur. Le dispositif de commande détermine si les données audio se situent au-dessus d'un niveau seuil. Le dispositif de commande détermine également si les données de capteur se situent au-dessus d'un niveau seuil. Selon que les données se situent au-dessus ou au-dessous du niveau seuil, le dispositif de commande peut suspendre le fonctionnement d'un disque dur.","1. A portable computing device comprising: 
a sensor capable of determining movement along a first axis and a second axis and generating sensor data of the movement; 
a speaker to output audio; 
a storage device; and 
a controller to suspend operation of the storage device when the sensor data is above a first threshold level, wherein the controller adjusts the first threshold level based on a level of audio output being generated by the portable computing device."
US9219462,Modular interface systems and methods,"Interface systems and methods are provided. An interface system can include a first isolator (200) and a second isolator (300) coupled to a modular interface (110). The interface can include a plurality of conductors (120). The first isolator can be coupled to a first signal format compliant first input/output (I/O) device (130). The second isolator can be coupled to a second signal format compliant second I/O device (140). The first isolator can pass a first signal format compliant signal to, and suppress the reflection of at least a portion of a second signal format compliant signal from, the first I/O device. The second isolator can at least partially block a first signal format compliant signal from, and to pass a second signal format compliant signal to, the second I/O device.  

La présente invention se rapporte à des systèmes et à des procédés à interface. Un système à interface peut comprendre un premier isolateur (200) et un second isolateur (300) couplés à une interface modulaire (110). L'interface peut comprendre une pluralité de conducteurs (120). Le premier isolateur peut être couplé à un premier format de signal compatible avec un premier dispositif d'entrée/sortie (E/S) (130). Le second isolateur peut être couplé à un second format de signal compatible avec un second dispositif d'entrée/sortie (140). Le premier isolateur peut transmettre au premier dispositif E/S un premier signal respectant le format du signal et supprimer la réflexion d'au moins une partie d'un second signal respectant le format du signal qui provient du premier dispositif E/S. Le second isolateur peut au moins partiellement bloquer un premier signal respectant le format du signal qui provient du second dispositif E/S et transmettre au second dispositif E/S un second signal respectant le format du signal.","1. An interface system, comprising: 
a first isolator and a second isolator coupled to a modular interface, said interface comprising a plurality of conductors;  
the first isolator coupled to a first signal format compliant first input/output (I/O) device; 
the second isolator coupled to a second signal format compliant second I/O device; 
the first isolator to pass a first signal format compliant signal and to suppress a reflection of at least a portion of a second signal format compliant signal from the first I/O device; and 
the second isolator to at least partially block a first signal format compliant signal and to pass a second signal format compliant signal to the second I/O device, wherein the second isolator comprises a first order, high-pass, RC filter having a minimum capacitance of 1,000 pico-Farads (pF) and further wherein the capacitance is rated for a minimum voltage of 3,000 Volts (3 kV)."
US9219752,Data leak prevention systems and methods,"A data leak prevention system includes an application, having source code that is unavailable or non-modifiable, resident on a client device. A system call is emittable by the application as a result of an action, and is to take place before a data leak event can occur. The action involves a document and i) latest full contents of the document, ii) metadata of the document, or iii) a combination of the latest full contents and the metadata. A system call interceptor agent is also resident on the client device. The interceptor agent includes a system call interceptor to intercept the system call emitted by the application and to suspend the system call. The system also includes a policy decision engine to analyze at least some of i) the latest full contents, ii) the metadata, or iii) the combination, and implement a policy action based upon the analysis.  

Un système de prévention de fuite de données comprend une application ayant un code source qui est indisponible ou non modifiable, qui réside sur un dispositif client. Un appel système peut être émis par l'application à la suite d'une action, et doit avoir lieu avant qu'un événement de fuite de données ne puisse survenir. L'action implique un document et i) le dernier contenu intégral du document, ii) les métadonnées du document, ou iii) une combinaison du dernier contenu intégral et des métadonnées. Un agent d'interception d'appel système réside également sur le dispositif client. L'agent d'interception comprend un intercepteur d'appel système pour intercepter l'appel système émis par l'application et suspendre l'appel système. Le système comprend également un moteur de décision stratégique pour analyser au moins une partie des éléments suivants : i) le dernier contenu intégral, ii) les métadonnées, ou iii) la combinaison, et mettre en oeuvre une action stratégique d'après l'analyse.  

Un système de prévention de fuite de données comprend une application ayant un code source qui est indisponible ou non modifiable, qui réside sur un dispositif client. Un appel système peut être émis par l'application à la suite d'une action, et doit avoir lieu avant qu'un événement de fuite de données ne puisse survenir. L'action implique un document et i) le dernier contenu intégral du document, ii) les métadonnées du document, ou iii) une combinaison du dernier contenu intégral et des métadonnées. Un agent d'interception d'appel système réside également sur le dispositif client. L'agent d'interception comprend un intercepteur d'appel système pour intercepter l'appel système émis par l'application et suspendre l'appel système. Le système comprend également un moteur de décision stratégique pour analyser au moins une partie des éléments suivants : i) le dernier contenu intégral, ii) les métadonnées, ou iii) la combinaison, et mettre en œuvre une action stratégique d'après l'analyse.","1. A data leak prevention system, comprising: 
a client device; 
an application resident on the client device, the application having source code that is unavailable or non-modifiable; 
a system call emittable by the application as a result of an action that is able to export a document out of the client device, the system call to take place before a data leak event can occur, and the action involving the document and i) latest full contents of the document, ii) metadata of the document, or iii) a combination of the latest full contents and the metadata; 
a system call interceptor agent resident on the client device, the system call interceptor agent including a system call interceptor to intercept the system call emitted by the application and to suspend the system call; and 
a policy decision engine to perform a deep scan, according to a policy condition, of at least some of i) the latest full contents of the document, ii) the metadata of the document, or iii) the combination of the latest full contents and the metadata to determine a real-time document sensitivity and to determine whether a policy applies to the document that is attempted to be exported out of the client device, and implement a policy action based upon the real-time document sensitivity."
US9219900,Determine video to play with audio,"Example embodiments disclosed herein relate to determining video to play based on audio. Videos associated with the audio are determined. One of the videos to play with the audio is determined based on analysis.  

Conformément à des modes de réalisation à titre d'exemple, la présente invention concerne la détermination d'une vidéo à lire sur la base d'un audio. Des vidéos associées à l'audio sont déterminées. L'une des vidéos à lire avec l'audio est déterminée sur la base d'une analyse.","1. A method of a computer, comprising: 
selecting audio for playback; 
determining a plurality of streaming video media associated with the selected audio based on use of a site crawler, wherein each of the plurality of streaming video media is associated with linguistic content; 
determining a given streaming video media of the plurality of streaming video media to play with the selected audio based on a linguistic analysis of the linguistic content and a user history including feedback by a user; 
scoring each of the plurality of streaming video media based on the linguistic analysis and the feedback, wherein the determining of the given streaming video media is based on the scoring; 
receiving additional feedback about the given streaming video media, 
wherein the additional feedback is used to train the linguistic analysis to score the linguistic content respectively associated with the given streaming video media."
US9223854,Document relevance determining method and computer program,"Disclosed is a method and computer program product of determining the relevance of at least a part of an electronic document comprising a plurality of terms distributed over a plurality of regions of said document, comprising displaying the electronic document to a user; determining the gaze characteristics of the person on a region of the electronic document; assigning a relevance score to an individual term in said region based on said characteristics; and generating a term relevance label for said electronic document, said term relevance label comprising relevance scores for the respective individual terms in said document The relevance scores may also be used to define a user profile for the user that can aid in retrieving future documents of relevance to the user.","1. A method of retrieving at least one electronic document from a database comprising a plurality of electronic documents ranked, the method comprising: 
displaying the electronic document to a user; 
determining the gaze characteristics of the person on a region of the electronic document; 
assigning a relevance score to an individual term in said region based on said characteristics; and 
generating a term relevance label for said electronic document, said term relevance label comprising relevance scores for the respective individual terms in said document; 
receiving a user-defined search query including at least one individual term; 
accessing the electronic database; 
accessing the term relevance label of the respective electronic documents 
to retrieve the respective relevance scores of the at least one individual term in the search query for said documents, 
selecting the electronic documents from said electronic database for which the relevance score of the at least one individual term in the search query meets a predefined criterion; and 
displaying said selection of electronic documents to the user."
US9223890,System and method of processing content using a uniform resource identifier,A host server receives a content request in the form of a Uniform Resource Identifier (URI) from a client. The URI identifies a first content resource and describes a first service resource to be applied to a representation of the first content resource. The URI is translated into an instruction set. The host server causes execution of the instruction set to apply the first service resource to a representation of the content resource. A processed representation of the first content resource is then provided to the client in response to the request.,"1. A method, comprising: 
receiving, by a first server from a client, a request for a transformed version of a first content resource, the received request comprising a Uniform Resource Identifier (URI) that identifies the first content resource and describes a first service resource and a second service resource, the first service resource to be applied to transform a representation of the first content resource in a first manner, and the second service resource to be applied to transform the representation of the first content resource in a second manner different from the first manner; 
translating the request received from the client into an instruction set to be executed to transform the representation of the first content resource, the instruction set comprising an instruction corresponding to the first content resource and instructions corresponding to the first service resource and the second service resource; 
transforming the representation of the first content resource by causing execution of the instruction set to apply the first service resource and the second service resource to the representation of the first content resource; and 
providing the requested transformed version of the first content resource to the client in response to the request."
US9225541,Media shadow files and system,"One embodiment of a system for rendering media files comprises a computer configured to determine media file formats that are used by media rendering devices connected to a network and to determine media files available on the network. The computer generates media shadow files of media file formats used by the media rendering devices to accompany existing media files available on the network in alternative formats.  

L'invention concerne un système destiné au rendu de fichiers multimédia comprenant un ordinateur configuré pour déterminer des formats de fichiers multimédia qui sont utilisés par des dispositifs de rendu multimédia connectés à un réseau et déterminer des fichiers multimédia disponibles sur le réseau. L'ordinateur génère des fichiers cachés multimédia ayant des formats de fichiers multimédia utilisés par les dispositifs de rendu multimédia dans le but d'accompagner les fichiers multimédia existants disponibles sur le réseau dans des formats alternatifs.","1. A system for rendering media files comprising: 
a computer to determine media file formats used by media rendering devices connected to a network, to store the determined media file formats in a data structure, and to determine existing media files available on the network, 
wherein the computer generates media shadow files for each of the determined media file formats used by the media rendering devices to accompany each of a number of existing media files available in an initial file format on the network, each of the media shadow files imitating each of the determined media file formats accompanying each existing media files and indicating that a fully transcoded media file is available in the determined media file formats used by the media rendering devices; 
wherein the media shadow files each comprise an initial portion less than the whole of media content of each of the existing media files in a particular file format and further comprises instructions for transcoding a remaining portion of the media content from the initial file format into the particular file format; 
wherein the initial portion of each of the media content associated with each of the media shadow files is streamed while the remaining portion of the media content of each of the media shadow files are transcoded in real time from the existing media files accompanied with the media shadow files; and 
wherein, after delivery of the media content associated with each of the media shadow files, the remaining portion of the media content of each of the media shadow files is deleted."
US9229958,Retrieving visual media,"Examples of the present disclosure may include methods, systems, and computer readable media with executable instructions. An example method for retrieving visual media can include receiving a text query associated with a target content. A first group of visual media is identified based on correspondence of metadata of the visual media with the text query, and keyframes from the first group of identified visual media are selected. The method further includes detecting instances of a content type in the selected keyframes, and grouping similar instances of the content type into clusters. The target content is associated with a cluster having a greatest quantity of similar instances.  

L'invention concerne, selon des exemples, des procédés, des systèmes et des supports exploitables par ordinateur comportant des instructions exécutables. Un procédé illustratif permettant de récupérer des supports visuels peut consister à recevoir une recherche texte associée à un contenu cible, à identifier un premier groupe de supports visuels sur la base d'une correspondance entre des métadonnées des supports visuels et la recherche texte, et à sélectionner des images-clés parmi le premier groupe de supports visuels identifiés. Le procédé consiste en outre à détecter des instances d'un type de contenu dans les images-clés sélectionnées, à regrouper en grappes des instances similaires du type de contenu, et à associer le contenu cible à une grappe comportant le plus grand nombre d'instances similaires.","1. A method for retrieving visual media, comprising: 
receiving, using a processor, a text query associated with a target content; 
identifying, using the processor, a first group of visual media based on correspondence of metadata of the visual media with the text query; 
selecting, using the processor, keyframes from the first group of identified visual media; 
detecting, using the processor, instances of a content type in the selected keyframes; 
grouping, using the processor, similar instances of the content type into clusters; 
associating, using the processor, the target content with a cluster having a greatest quantity of similar instances; 
indexing, using the processor, locations within the visual media based on content type in the selected keyframes; and 
repurposing, using the processor, images directly from the indexed locations within the visual media into a new customized visual media product."
US9235359,Print service provider risks applied to decision making,"A system that generates risk values for a print service provider. The print service provider may calculate probabilities of an event occurring, calculate the effect that the given event will have on the print service provider, and determine various risks associated with calculations. These risks may then be utilized to determine overall operational strategies for the print service provider when compared to threshold risk levels for the print service provider.  

L'invention concerne un système qui génère des valeurs de risque pour un fournisseur de services d'impression (10). Le fournisseur de services d'impression (10) peut calculer des probabilités de la survenue d'un évènement, calculer l'effet que l'évènement donné aura sur le fournisseur de services d'impression (10), et déterminer différents risques associés à des calculs. Ces risques peuvent ensuite être utilisés pour déterminer des stratégies opérationnelles globales pour le fournisseur de services d'impression (10) par comparaison avec des niveaux de risque seuils pour le fournisseur de services d'impression (10).","1. An electronic device comprising: 
a network interface configured to receive information related to activity at a print workstation of a print service provider, wherein the workstation is configured to perform on a particular print job a set of processes comprising a pre-press station process, a press station process, a post-press station process, and a shipping station process; and 
a processor configured to:  
utilize the received information to determine for each of the processes a respective probability of a respective event type occurring at the print workstation and calculate a respective risk to operation of the print service provider based on the respective probability of the respective event type occurring at the print workstation; 
determine, based on the respective risk to the operation of the print service provider for each respective event type, an overall risk in accepting the particular print job by the print service provider; and 
in response to determining that the overall risk in accepting the particular print job by the print service provider is acceptable, causing the particular print job to be fulfilled by the print service provider by scheduling the particular print job for fulfillment by the print service provider based on the respective risk to the operation of the print service provider for each respective event type."
